nickname,roi,mdd,sharpRatio,winRate
Bro要敬畏市场,81.11551739,21.683423,,42.8571
嗝神,80.538301,24.204062,,85.7143
BlueBlood45,80.50255648,0.82622371,0.81187075,100.0
Magic_Algo,80.28982007,9.9494717,8.34847795,99.2664
Katylis,80.26095699,8.9187375,7.78341659,88.8889
TraderFerdi,79.962886,42.51992,,64.8649
Maine-Coon,79.93520877,8.6963486,9.21092939,88.2759
HungryBlackCat,79.690641,25.066839,,78.5714
1783CLUB,79.64543197,27.731952,2.52002016,80.0
VietNamScalper89,79.50022318,40.235667,3.5117662,99.1071
CHAODOI-AI,79.3601001,7.4901494,5.70194195,99.3464
BritCat,79.3519138,8.6935276,9.28202423,88.1671
水龙果,79.270072,2.5115434,,82.3529
KotTradingClub,79.17890461,6.3091006,9.19597604,88.5057
ZeroToMax,78.996514,11.40217,,89.4737
水草先生,78.78492096,24.929636,4.21709989,37.5
BullMasterPRO,78.5772697,14.700375,3.73738991,99.8741
_MrChick_,78.37075,69.241511,0.45906281,58.9041
CryptoNifeCatch,78.25088184,7.3054934,8.81659354,83.4031
布欧buou量化日记,78.09699954,8.9158263,1.47344705,90.6475
稳稳的盈利,77.86161424,56.967142,2.41369733,52.9412
CrypTolitz,77.80288185,18.552734,3.80558065,100.0
Market-Hunter,77.6425222,1.4500818,7.78359953,78.5178
LongMonster,77.406484,28.588722,,94.4444
CryptoGenus7,77.305526,12.411611,,88.172
MediciFamily,77.099208,12.939888,,60.0
BB_god,77.018126,7.92677,,50.0
linkboy1980,76.699751,34.801134,,75.0
CryptoYJ,76.37649296,43.801353,3.9818908,77.5862
Bl3r,76.208755,0.0,,89.0909
Nurtopu,76.15190596,37.473332,1.91001068,86.6667
SK-HedgeFund,76.12811724,43.680876,1.58101565,87.7551
nktrade20,76.058215,18.490245,,88.2353
币圈轩爸,75.984528,8.0296902,,84.8101
LowRiskAlpha,75.85624399,8.6089805,8.11919257,73.4824
SW3_10000_USDT_min,75.8420002,67.691277,4.04215771,66.6667
Wealth-Master,75.713337,17.278963,,88.1935
TheAsher,75.532169,61.081518,,87.0968
老王只玩索拉那,75.50545263,46.346034,2.01779753,46.6667
TheCannes,75.383048,14.56415,,100.0
AI自动化交易,75.352684,5.4696705,,90.364
TornadoFX_CFD,74.894746,39.0713,,95.6522
战士110,74.800371,47.064768,,50.0
