nickname,roi,mdd,sharpRatio,winRate,tradingDays
The_bill_is_paid,96.375198,13.304226,,100.0,16
sanshiv,96.26983522,37.549615,3.58850705,91.3462,114
MrCyrpto,95.767688,44.967778,,83.3333,8
稳健投资,95.006978,20.985221,,71.4286,7
荒-独断万古,94.872617,23.977457,,80.9524,8
CrystalTABS,94.19404558,40.365917,3.09174855,84.6154,128
禿頭老爹,94.00381497,43.060114,2.27937154,93.7864,80
马有才,93.47935351,30.851131,3.13913714,0.0,219
BLUE_TR,93.35870368,13.85651,12.71966009,95.4155,47
财气通门户,93.28887954,45.168896,3.15495611,0.0,177
火洋洋,92.41413064,72.478346,3.55554534,71.875,133
OMamati,92.407899,59.878006,,84.6154,12
HiCrypto,91.99836567,22.793761,5.12798602,84.8729,96
BDN-Bot,91.369248,5.1668768,,97.417,20
Prosecutor,91.185713,24.965744,,68.4211,8
我们儿,91.153744,39.816567,,42.8571,27
陆生,91.112677,16.352663,,100.0,24
龙年牛气冲天,90.785017,9.9095676,,0.0,3
MysticTrader123,90.51214878,24.701664,3.53732727,50.0,68
王阳明-知行合一,90.23292092,16.360373,5.64356785,58.0952,170
Criptomarkt,89.968273,19.671001,,97.9167,26
彌樂天堂,89.96096558,15.105795,4.35288764,98.6083,88
-BEDO-,89.924082,24.737353,,87.5,5
XXDogeFatherXX,89.84193737,1.6967717,2.89547337,98.7879,113
hiro-bnb,89.37208824,30.356562,,0.0,29
映月水,89.2299824,24.972291,5.06098589,95.7746,90
Btc_Ha,89.16713008,38.767913,0.7210142,36.4109,76
GoodFelix,89.08243219,44.278843,4.08777928,62.2449,44
君安资产003,88.269146,51.629752,,100.0,21
littlebird1,88.162775,23.321771,,67.7419,5
MrOmarCrypto,88.06460849,12.098468,3.82551252,96.7742,118
P4PTI,87.98101738,51.083071,4.10043747,78.481,66
种优得优,87.90357,5.163143,,84.2105,22
TheFox007,87.755021,0.0,,85.7143,3
Doge2024,87.61257848,24.079405,2.90535913,56.25,133
Savior1802,87.281983,0.0,,100.0,34
JackChang,86.81131841,10.534471,4.03240941,70.9677,117
CoinBiz,86.63689,35.130784,5.25188939,76.3033,90
nhatvechai88,86.58276592,26.911726,3.88389729,64.2857,125
Ajj马丁格尔,86.551748,26.209806,,36.3636,9
锤锤,86.53654,0.0,,91.6667,2
五气朝元,86.196786,3.1421402,,80.6452,5
Binancie,86.02116264,29.692084,4.54148708,95.3488,42
Luckytaotao,85.50314275,53.642541,2.58724743,67.7966,82
鸿蒙紫气,85.043082,31.417927,,50.0,3
SAITUHKAWNG阿杜,84.853143,14.077101,,99.3421,27
dreameBNB,84.761132,8.7601835,,44.4444,8
Spaceforcer,84.404403,32.817133,,70.7792,24
Hekaro88,84.384644,68.556049,,99.6377,26
静怡Y,83.873418,44.700659,,93.9394,8
木子和海龟,83.85571,41.133293,,42.8571,12
功夫茶财经,83.711913,0.0,,100.0,1
华尔街强哥,83.51662385,37.72886,2.05628169,69.5652,139
马得水fans,83.421282,46.059123,,71.7949,24
tolive,83.341535,25.002891,,55.3846,8
老和尚打單修身養性,82.745844,53.441277,,100.0,21
币安院长,82.479864,38.977423,,99.2481,24
马哥哥89590907,82.36151669,53.708623,2.2733871,56.8182,79
睡后收入,82.30527445,31.278181,5.87396503,0.0,61
遍地金银稳稳赚,82.19364494,53.042153,3.56845004,81.407,35
楠子,82.18940167,8.7101423,,100.0,28
Huynhlongbai,82.083045,24.892032,,57.1429,2
VietNamScalper89,81.34499774,40.235667,3.54152512,99.1071,57
SiBattt,81.24595933,58.434624,4.15694372,58.3333,40
仓老师,80.921723,7.134891,,60.0,6
Exp0sure,80.79934763,45.441649,3.83491442,98.7835,36
linkboy1980,80.780347,34.801134,,60.0,25
山顶资本-饿了么1号,80.62385268,19.479309,4.77037349,63.1579,75
FlashCrashBot,80.15055252,4.9217718,11.2545654,81.1383,71
x2King,79.89389595,24.438519,2.82652514,30.4348,108
神剑002,79.733096,3.5374271,,60.2941,22
Nebulae,79.391678,4.4137335,,52.0,27
The_Coin_Stalker,79.27418614,5.3864932,3.68726826,96.0,98
金牌猎杀达达,79.234697,0.0,,100.0,0
Sebegu,79.18373567,33.738767,6.90384078,53.3333,34
福星高高照,79.15871,18.43849,,96.4286,19
萤火,79.037174,36.324106,,73.1061,22
Long_way_to_the_top,78.922025,36.799676,,61.3333,15
Xpert-Trader,78.458728,45.419741,,62.069,24
CHAODOI-AI,78.43071301,7.4901494,5.71065219,99.7974,123
LowRiskAlpha,78.15027149,8.6089805,8.59459951,73.2416,34
Sora9449,78.13871,27.755731,,33.3333,27
Mamypoko,78.05659266,28.056054,1.97751474,97.9592,62
潇聲匿迹,77.98854702,43.289514,4.91526284,81.3953,37
ProfitManiac,77.9711457,7.1998218,8.39847447,79.8883,70
btc老韭,77.75505494,54.673678,1.67672943,66.6667,101
Phanthangsg,77.60868578,13.760065,7.31777791,93.8889,84
AI自动化交易,77.491056,5.4696705,,69.637,8
CryptoGenus7,77.466921,12.411611,,82.8283,17
My-Trades,77.45250111,26.537504,4.8641812,92.8571,33
LongMonster,77.390753,28.588722,,94.4444,24
Mumuyay,77.37446,13.56119,,67.3913,20
Kriptopatates,77.218894,0.0,,80.9524,2
CrypTolitz,77.1188059,18.552734,3.76136869,100.0,110
UltrechTorito,77.09989936,25.575746,3.36345466,75.7303,47
DragonMoneyUpVip,76.96195,7.9099824,,94.9843,8
Trader_AT,76.88731606,44.471256,2.1715602,80.0,168
埝哉et,76.26484,0.0,,87.5,1
茶包,76.24713949,25.736579,3.66406175,0.0,135
春秋冬夏,76.207504,12.413892,,90.4762,6
嗝神,75.653473,24.204062,,85.7143,26
unclelulu,75.60117605,77.49038,4.19021824,84.6154,56
BlueBlood45,75.53467435,2.7522503,0.73009086,66.6667,102
下一站FAN,75.401489,0.0,,92.3077,2
TheCannes,75.383048,14.56415,,100.0,9
JustMe49,75.14306,15.998883,,70.7547,11
MattySol,74.984179,45.237165,,43.8596,10
Yukai999,74.963648,21.438927,,60.9756,18
FollowMeOutperform,74.927126,0.0,,80.8824,4
Rai-Trading-group,74.690639,25.316031,,86.6091,24
TraderFerdi,74.354365,42.51992,,64.8649,19
山顶资本-美团1号,74.32202301,45.95048,5.97706424,86.1702,123
sameryunus,74.20323365,30.715968,5.75647728,87.3684,44
Ace-Joker,74.06654535,64.130731,,68.1818,30
小杨肖恩,74.046404,11.567491,,76.9231,7
07Trader-Profitable,73.97499277,53.554672,2.2506819,0.0,90
橘子头,73.88319375,30.839964,3.73996432,89.5372,57
X01X,73.82724601,63.276606,2.55158313,37.7778,40
Crypto穿越者,73.753469,58.104815,,67.7419,22
ArbitrageTrader,73.121176,0.59758623,,95.4545,6
mooncaker,72.998213,30.719289,,95.0235,13
Ankush_deswal,72.61145747,30.04096,3.04423127,70.0,101
Haxnoofficials,72.416459,9.2657831,,98.9362,18
Wise-Traders,72.25051015,62.070203,2.85764795,58.5635,107
StrongQuant,72.188124,33.716725,,96.9697,15
TheAsher,72.163783,61.081518,,85.2941,14
布欧buou量化日记,72.03861769,8.9158263,1.46381203,89.3939,115
赌徒心理,71.932511,11.222033,,75.0,14
Xheroc,71.92473597,44.490857,3.13051953,68.4211,145
Wolf-AI,71.40215343,9.1774041,6.18214202,74.2063,129
Katylis,71.24096542,8.9187375,7.38443761,91.7808,51
Luay1411,71.205158,74.819918,4.08716577,94.4099,64
ATA_Stars,70.93872074,2.6235014,1.49949549,96.7033,54
BuyHighSellHigher,70.835874,72.194702,,70.9677,27
DIAMOND_SIGNALS,70.76109369,17.20451,2.6926004,85.8974,90
水草先生,70.65788446,24.929636,3.87793542,34.7826,38
Miles_L,70.513648,35.986174,3.83603742,44.4444,110
华哥带单,70.480452,42.453401,,100.0,13
Learnerboy,70.340154,8.1175132,,50.0,6
爆仓战神,70.002142,30.429745,,77.2727,23
Bro要敬畏市场,69.97277316,21.683423,4.63594085,47.619,30
慢慢来-不急呀,69.840519,93.017756,2.25599161,87.0968,64
浙大七哥-只赚有把握的钱,69.34899235,19.763158,1.77835511,96.0,64
Martillero,69.00293463,38.735225,-1.89005116,50.0,64
HungryBlackCat,68.995896,25.066839,,73.3333,24
Hasan3547,68.78595832,61.7927,1.92838505,75.0,34
Quy_dream,68.70113005,59.79473,4.3671544,94.697,31
哈个咋,68.3327276,59.917355,3.72230637,90.2439,45
麻辣鸳鸯锅,68.15541,44.15824,,72.7273,21
SilentSeer,68.064481,11.065973,,74.2063,21
kingDymka,67.827518,11.278144,,91.4286,8
RoboTraderX,67.75421316,21.898536,5.80785872,74.3056,106
